Categoría,Cantidad,Referencias,Valor,LCSC Part #,Footprint
Capacitors,1,C1,10uf,,0603_CAP
Capacitors,1,C2,1nF,,0603_CAP
Resistors,2,"R1,R2",470,,0603_RES
Resistors,3,"R3,R5,R6",1k,,0603_RES
Resistors,1,R4,2.5k,,0603_RES
Resistors,1,R7,220,,0603_RES
Integrated Circuits,1,U1,MCP738312ACIMC,C411870,MCP73831-2ACI_MC
Integrated Circuits,1,U2,ATTINY85,C89852,SOIC127P787X213-8
Integrated Circuits,1,U3,FUSE_1,C182310,1206
Transistors,2,"Q1,Q3",MJD127T4,C111639,DPAK
Diodes,1,D3,1N4148W,,SOD123
Diodes,2,"D4,D5",LED-WHITE,,SM4014UWDN02
Diodes,2,"D6,D7",LED-AQUA,,SM4014UWDN02
Miscellaneous,1,BAT2,3V,,BAT 3V EG
Miscellaneous,1,BTN1,PW,C406158,BOTON_90G_TH_EG
Miscellaneous,1,BTN2,PRV,C406158,BOTON_90G_TH_EG
Miscellaneous,1,BTN3,OK,C406158,BOTON_90G_TH_EG
Miscellaneous,1,BTN4,NXT,C406158,BOTON_90G_TH_EG
Miscellaneous,1,CHG,LED-GREEN,,LEDC1608X60
Miscellaneous,1,CONN1,ISCP CONN EG,,ICSP EG
Miscellaneous,1,DONE,LED-RED,,LEDC1608X60
Miscellaneous,1,J1,USB TYPE C,C309349,USB TYPE C
