Designator,Mid X,Mid Y,Layer,Rotation
BAT2,798.736,130.098,TOP,90
D4,156.286,12.1098,Bottom,0
D6,156.286,137.098,Bottom,0
D5,796.186,12.1098,Bottom,0
D7,796.186,137.098,Bottom,0
J1,4.4611,196.598,TOP,-180
DONE,2.3236,10.9098,TOP,0
CHG,2.3236,910.979,TOP,0
Q1,224.236,655.295,TOP,180
Q3,8.8236,655.295,TOP,180
U2,204.236,196.748,TOP,0
D3,705.236,2.7098,TOP,0
U3,156.984,770.979,TOP,0
C1,10.16,165.098,TOP,-180
C2,13.26,165.098,TOP,-180
R1,297.236,464.619,TOP,90
R2,297.236,767.339,TOP,90
R3,297.236,10.5462,TOP,90
R4,297.236,135.734,TOP,90
R5,15.66,560.979,TOP,180
R6,15.66,2.8098,TOP,180
BTN1,316.136,207.398,TOP,180
BTN2,425.737,207.498,TOP,180
BTN3,535.737,207.498,TOP,180
BTN4,645.737,207.498,TOP,180
U1,12.1351,19.05,TOP,0
R7,171.636,24.7,TOP,180
CONN1,11.85,24.7,TOP,0
